date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:31:21	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET.df.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/resources?activetab=pivot_1%3aprimaryr4)
21:31:21	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET.e0.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/resources?activetab=pivot_1%3aprimaryr5)
21:31:22	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET.e1.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/resources?activetab=pivot_1%3aprimaryr6)
21:31:22	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET.e2.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/resources?activetab=pivot_1%3aprimaryr7)
21:31:22	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET.e3.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/resources?activetab=pivot_1%3aprimaryr8)
21:31:22	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET.e4.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/girls-stem-computer-science)
21:31:22	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET.e5.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/get-involved?activetab=pivot_1%3aprimaryr6)
21:31:22	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET.e6.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/get-involved?activetab=pivot_1%3aprimaryr7)
21:31:22	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET.e7.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/get-involved?activetab=pivot_1%3aprimaryr8)
21:31:22	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET.e8.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/get-involved?activetab=pivot_1%3aprimaryr9)
21:31:22	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/skills-employability/GET.e9.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/skills-employability/get-involved?activetab=pivot_1%3aprimaryr10)
21:31:24	214/214	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2029%20Nov%202021%2005:31:24%20GMT	https://www.microsoft.com/en-us/corporate-responsibility/protecting-journalism/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/protecting-journalism/GET.ea.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/protecting-journalism/?activetab=pivot_1%3aprimaryr4)
21:31:24	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/protecting-journalism/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/protecting-journalism/GET.eb.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/protecting-journalism/?activetab=pivot_1%3aprimaryr5)
21:31:24	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/protecting-journalism/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/protecting-journalism/GET.ec.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/protecting-journalism/?activetab=pivot_1%3aprimaryr6)
21:31:24	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/protecting-journalism/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/protecting-journalism/GET.ed.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/protecting-journalism/?activetab=pivot_1%3aprimaryr7)
21:31:25	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/protecting-journalism/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/protecting-journalism/GET.ee.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/protecting-journalism/?activetab=pivot_1%3aprimaryr8)
21:31:25	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.ef.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/human-rights-statement?activetab=pivot_1%3aprimaryr6)
21:31:25	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.f0.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/human-rights-statement?activetab=pivot_1%3aprimaryr7)
21:31:25	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.f1.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/human-rights-statement?activetab=pivot_1%3aprimaryr8)
21:31:25	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.f2.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/human-rights-statement?activetab=pivot_1%3aprimaryr9)
21:31:27	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.f3.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/digital-safety-content-report?activetab=pivot_1%3aprimaryr3)
21:31:27	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.f4.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/digital-safety-content-report?activetab=pivot_1%3aprimaryr4)
21:31:27	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.f5.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/digital-safety-content-report?activetab=pivot_1%3aprimaryr5)
21:31:28	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.f6.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/digital-safety-content-report?rtc=1&activetab=pivot_1%3aprimaryr4)
21:31:28	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.f7.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/digital-safety-content-report?rtc=1&activetab=pivot_1%3aprimaryr5)
21:31:28	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.f8.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/justice-reform-initiative?activetab=pivot_1%3aprimaryr4)
21:31:29	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.f9.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/justice-reform-initiative?activetab=pivot_1%3aprimaryr5)
21:31:29	0/-1	---M--	302	error ('')			https://www.microsoft.com/en-us/corporate-responsibility/GET	C:/My%20Web%20Sites/microsoft%20csr/www.microsoft.com/en-us/corporate-responsibility/GET.fa.delayed	(from https://www.microsoft.com/en-us/corporate-responsibility/justice-reform-initiative?activetab=pivot_1%3aprimaryr6)
